description,carb,fat,energy,protein,country,serving_type,queries
"['Brown sugar', 'Butter, QUALITATIVE-INFO = With added salt', 'Hen eggs', 'Maize semolina', 'Salt, iodised and fluoridated', 'Unbottled water', 'Vegetable fats and oils, edible, PROCESS = Blending', 'Wheat flour white']",20.57,10.040000000000001,175.0,1.31,PER,metric,"For dinner, I'm having 11.5 grams of brown sugar, 1.7 grams of salted butter, 0.9 grams of hen eggs, and 3.5 grams of maize semolina. I also have 0.0 grams of iodised and fluoridated salt, 159.1 grams of unbottled water, 8.9 grams of blended vegetable fats, and 8.8 grams of white wheat flour."
"['BLACK EYED PEAS, BOILED', 'FRESH COCONUT', 'WATER']",23.39,18.98,282.0,8.28,LKA,metric,"This morning, I’m eating 100 grams of boiled black-eyed peas, 30 grams of fresh coconut, and drinking 125 grams of water."
"['BISCUIT', 'MARGARINE']",25.72,30.84,394.0,4.28,LKA,metric,I'm snacking on a 60g biscuit and adding 30g of margarine on top.
['PAPAYA JUICE'],29.0,0.3,114.0,0.34,LKA,metric,I’ve got 200 grams of papaya juice to enjoy as a snack.
"['BISCUIT', 'BREAD WHITE', 'ROLLS PLAIN - HAMBURGER, HOTDOG']",59.71,13.98,412.0,10.879999999999999,LKA,metric,"I'm having a snack that consists of a 60g biscuit, 4g of white bread, and a 64g plain roll."
"['FISH CURRY', 'PARATHA']",120.69000000000001,37.21,894.0,19.36,LKA,metric,I’m having a 61g serving of fish curry along with 257 grams of paratha for dinner.
"['BROWN RICE, COOKED', 'CABBAGE, COOKED', 'DHAL CURRY', 'MUSHROOM, COOKED', 'WATER']",57.15,5.68,310.0,8.44,LKA,metric,"Lunch today includes 200 grams of brown rice, 15 grams of cabbage, 30 grams of dhal curry, and 45 grams of cooked mushrooms. Plus, I'm drinking 250 grams of water."
"['DHAL CURRY', 'HUMMINGBIRD TREE LEAVES', 'WHITE RICE, COOKED']",97.14,6.09,496.0,12.51,LKA,metric,"For a quick snack, I have 90 grams of dhal curry, 15 grams of hummingbird tree leaves, and 300 grams of cooked white rice."
['FALUDA'],54.87,9.65,270.0,7.91,LKA,metric,I've got 250 grams of faluda lined up for my snack.
"['CHICKEN CURRY', 'DOSA PLAIN']",37.089999999999996,5.79,232.0,7.359999999999999,LKA,metric,"For breakfast, I had 30g of chicken curry with a 95g plain dosa."
"['SOYA, COOKED', 'WATER', 'WHITE RICE, COOKED']",33.08,0.46,178.0,10.39,LKA,metric,"For breakfast, I'm having 15 grams of cooked soya, 250 grams of water, and 100 grams of cooked white rice."
"['TEA WITH MILK SUGAR', 'UPPUNA', 'WATER']",86.94,15.16,530.0,13.06,LKA,metric,"This morning, I enjoyed 200g of tea with milk and sugar, 500g of Uppuna, and washed it down with 325g of water."
"['CHICKEN CURRY', 'PAPAYA', 'ROTI', 'WATER']",137.35,28.110000000000003,884.0,25.03,LKA,metric,"Dinner tonight consists of 61g of chicken curry, 160g of papaya, 260g of roti, and 250g of water to drink."
"['BANANA', 'FISH SANDWICH']",36.39,7.47,252.0,10.799999999999999,LKA,metric,I’m enjoying an 84g banana and a 64g fish sandwich for breakfast.
"['CABBAGE, COOKED', 'FRESH MILK', 'FRIED ONION', 'PUMPKIN, COOKED', 'WATER', 'WHITE RICE, COOKED']",74.82,7.33,423.0,13.56,LKA,metric,"For a snack, I'm having 30g of cooked cabbage, 210g of fresh milk, and 45g of fried onions along with 30g of cooked pumpkin. I also have 323g of water and 200g of cooked white rice."
"['PAPAD', 'WATER']",1.2,0.06,7.0,0.51,LKA,metric,"For a snack, I'm having 2 grams of papad and 250 grams of water."
"['FRUIT JUICE', 'WATER']",25.0,0.24,100.0,0.32,LKA,metric,I’m enjoying a snack that consists of 200 grams of fruit juice and 350 grams of water.
"['FRUIT', 'PITTU']",114.78,12.83,598.0,8.83,LKA,metric,I’m enjoying 138g of fruit and 154g of pittu for my dinner.
"['GRAPES', 'MILK POWDER', 'ROLLS PLAIN - HAMBURGER, HOTDOG']",78.44,14.91,517.0,18.41,LKA,metric,"I'm snacking on 141g of grapes, 350g of milk powder, and 82g of plain rolls."
"['DHAL CURRY', 'EGG WHOLE', 'LEAFY VEGETABLE MALLUM', 'WHITE RICE, COOKED']",64.7,9.23,402.0,13.5,LKA,metric,"I’m enjoying 200g of cooked white rice for lunch, alongside 60g of dhal curry, a 44g whole egg, and 15g of leafy vegetable mallum."
"['CHICKEN CURRY', 'DHAL CURRY', 'INDIAN PENNYWORT', 'LEAFY VEGETABLE MALLUM', 'WATER', 'WHITE RICE, COOKED']",166.34,16.74,910.0,24.66,LKA,metric,"For lunch today, I have 90g of chicken curry, 105g of dhal curry, and 60g of Indian pennywort, along with 45g of leafy vegetable mallum, 350g of water, and 500g of cooked white rice."
"['APPLE', 'BREAD, ROLL', 'PRETZEL, POPPY']",131.8,8.2,651.0,15.2,ROU,metric,"For breakfast today, I had 200 grams of apple, a 65g roll, and 100g of a poppy pretzel."
"['COFFEE, UNSWEETENED', 'MEATBALL SOUP', 'SPAGHETTI WITH MEAT']",74.5,49.599999999999994,971.0,54.1,ROU,metric,I’ve got a 75g cup of unsweetened coffee paired with 364.2g of meatball soup and 352.5g of spaghetti and meat for lunch.
"['GRILLED PEPPER SALAD', 'MIXED VEGETABLES SOUP', 'POTATO', 'SCHNITZEL']",69.89999999999999,93.10000000000001,1401.0,70.39999999999999,ROU,metric,"I'm enjoying a 240.5g grilled pepper salad, 397g mixed vegetable soup, a 100g potato, and a 310g schnitzel for lunch."
"['EGG', 'PORK FAT, FRIED']",1.1,35.5,379.0,12.6,ROU,metric,"This morning, I had 100 grams of eggs and 25 grams of fried pork fat."
"['JUICE, VEGETABLES', 'KIWI', 'WATER, BOTTLED']",27.799999999999997,0.5,112.0,1.2000000000000002,ROU,metric,"For breakfast, I'm having 175g of vegetable juice, 100g of kiwi, and 500g of bottled water."
"['BREAD', 'MIXED VEGETABLES SOUP', 'SPONGE CAKE']",228.5,63.2,1611.0,33.800000000000004,ROU,metric,"Lunch today included 25 grams of bread, 410.5 grams of mixed vegetable soup, and a nice 352.2 grams of sponge cake."
"['COUNTRY SOUP', 'PLUM DUMPLINGS']",307.4,62.2,1838.0,23.700000000000003,ROU,metric,I'm enjoying 436.1 grams of country soup along with 727 grams of plum dumplings for lunch.
"['CABBAGE ROLLS STUFFED WITH MEAT', 'CHICKEN SOUP', 'SPONGE CAKE']",142.5,82.2,1593.0,74.60000000000001,ROU,metric,"For lunch, I enjoyed a 176.1g sponge cake along with 347.5g of cabbage rolls stuffed with meat and 458.2g of chicken soup."
"['CHICKEN SOUP', 'POTATOES WITH MEAT']",58.7,78.9,1155.0,54.099999999999994,ROU,metric,Lunch today includes 382 grams of chicken soup and 378 grams of potatoes with meat.
"['BREAD', 'HONEY', 'SALAMI', 'TEA']",25.099999999999998,13.4,276.0,13.600000000000001,ROU,metric,"I have a breakfast of 25g of bread, 15g of honey, 50g of salami, and I'm sipping on 250g of tea."
"['BREAD', 'GRILLED MINCED MEAT ROLLS', 'JUICE, FRUITS', 'MUSTARD']",61.599999999999994,30.900000000000002,656.0,32.5,ROU,metric,"For dinner, I'm having 75g of bread with 160g of grilled minced meat rolls, along with 250g of fruit juice and 5g of mustard."
"['BREAD', 'PORK CHOP, GRILLED', 'SOUP WITH NOODLES', 'WATER, MINERAL, CARBONATED']",53.400000000000006,59.0,1138.0,93.3,ROU,metric,"I’m enjoying a 25g piece of bread with my lunch, alongside a 300g grilled pork chop, 387g of soup with noodles, and a glass of 300g mineral water."
"['BREAD, HOMEMADE', 'CABBAGE SALAD', 'SCHNITZEL', 'SOUP WITH NOODLES']",97.60000000000001,97.9,1583.0,77.99999999999999,ROU,metric,"For lunch, I'm having 50g of homemade bread, a 210g cabbage salad, a 310g schnitzel, and 387g of soup with noodles."
"['EGG, BOILED', 'HAM', 'TOMATO']",4.8999999999999995,14.3,234.0,20.7,ROU,metric,"For breakfast today, it’s a 50g boiled egg, 50g of ham, and 111g of tomato on the side."
"['POTATO SOUP', 'POTATO, FRENCH FRIES', 'SALT', 'TOMATO']",111.4,49.900000000000006,927.0,10.700000000000001,ROU,metric,"For breakfast, I had 351.6g of potato soup, along with 200g of French fries, a pinch of salt (about 1g), and 111g of tomatoes."
"['BREAD', 'BROWN SUGAR', 'COFFEE', 'HAM', 'HARD CHEESE']",25.1,21.3,436.0,33.8,ROU,metric,"I had 50 grams of bread with 2.5 grams of brown sugar for breakfast, paired with 75 grams of coffee, 50 grams of ham, and 60 grams of hard cheese."
"['BREAD, BROWN', 'BUTTER']",11.9,17.3,211.0,2.9000000000000004,ROU,metric,"For dinner, I'm having 25 grams of brown bread with 20 grams of butter."
"['BACON', 'BREAD', 'COFFEE', 'EWE-CHEESE']",23.5,31.6,466.0,21.2,ROU,metric,"I started my day with 50 grams of bacon, 50 grams of bread, and a 100-gram cup of coffee, plus 50 grams of ewe cheese."
"['CABBAGE SALAD', 'COFFEE', 'GOULASH', 'MASHED POTATOES', 'MEATBALLS']",98.0,124.9,1819.0,81.80000000000001,ROU,metric,"I had a 210g cabbage salad, 75g of coffee, 100.3g of goulash, 298g of mashed potatoes, and 332g of meatballs for lunch."
"['BREAD', 'BUTTER', 'COFFEE', 'HAM, PRESSED', 'SALAMI, DRY (SIBIU)']",22.599999999999998,64.9,791.0,29.6,ROU,metric,"For breakfast, I consumed 50g of bread with 50g of butter, 75g of coffee, 50g of pressed ham, and 60g of dry salami."
"['Sandwich, tuna salad, on white bread']",14.59,13.879999999999999,253.0,16.77,KNA,metric,I'm enjoying a 157g tuna salad sandwich on white bread for breakfast.
"['Bread, white flour, commercial', 'Chicken, wing, stewed with butter', 'Fruit flavoured drink, Tang, powder mix, reconstituted with water', 'Water, tap']",55.9,13.629999999999999,433.0,20.91,KNA,metric,"For dinner, I'm having 56g of white flour bread with 70g of stewed chicken wings cooked in butter. I also have 281.8g of Tang fruit-flavored drink and 271g of tap water."
"['Chicken, thigh, floured and fried', 'Sauce, unknown type', 'Water, mineral']",17.76,33.13,607.0,59.08,KNA,metric,"I’m having dinner with 220g of fried chicken thighs that are floured, a sauce that I can't quite place at 27.5g, and 507g of mineral water."
"['Chicken, wing, cooked with added fat unknown', 'Eddoes, boiled', 'Onion, cooked, unknown if fat added', 'Potato, mashed, fresh, with milk', 'Seasoning, all purpose']",99.22,22.19,732.0,27.83,KNA,metric,"For dinner, I'm having 70g of cooked chicken wings, 244g of boiled eddoes, and 10.5g of cooked onions. I also have 217g of fresh mashed potatoes with milk and a little bit of all-purpose seasoning (0.3g)."
"['Juice drink, passion fruit', 'Pastry, filled, with meat, baked', 'Water, unknown type']",92.49,16.27,566.0,11.48,KNA,metric,"Today’s lunch includes 496g of juice drink made from passion fruit, an 85g pastry filled with meat, and 438g of some type of water."
"['Rice, white, boiled', 'Tuna, unknown type, canned in water, canning liquid not used, cooked', 'Water, spring']",45.56,1.5999999999999999,252.0,13.5,KNA,metric,"I'm eating 164 grams of boiled rice, along with 38.5 grams of tuna, and drinking 240 grams of spring water for dinner."
"['Beer, Carib, unknown type', 'Porridge, cornmeal, cooked with lowfat milk and sugar']",99.03,6.53,629.0,13.99,KNA,metric,"For dinner, I'm having 360g of Carib beer along with 301g of cornmeal porridge cooked with low-fat milk and sugar."
"['Popcorn, regular, popped', 'Water, tap']",59.79,4.23,352.0,12.07,KNA,metric,I snacked on 93.6g of popcorn and 271g of tap water.
"['Cider, apple, filtered, sweetened, non-alcoholic', 'Crackers, Crix, wholewheat']",36.980000000000004,4.2,205.0,3.14,KNA,metric,I just poured myself 182g of filtered sweetened apple cider and grabbed 28g of whole wheat crackers for my snack.
"['Bread, white flour, commercial', 'Fruit flavoured drink, Kool Aid, powder mix, reconstituted with water', 'Stew, saltfish, SKN recipe', 'Sugar, unknown type', 'Tea, herbal, unknown type, brewed with water']",59.60000000000001,7.74,377.0,16.19,KNA,metric,"I’m starting my day with 56g of white bread, 245.4g of fruit-flavored Kool Aid, and a bowl of 47g saltfish stew. I used 4.2g of sugar and brewed 219g of herbal tea."
"['Coffee, black', 'Juice drink, pomegranate, regular', 'Juice, fruit punch', 'Water, spring']",72.77,1.26,307.0,1.45,KNA,metric,"For my snack, I'm having 480g of black coffee, along with 282g of pomegranate juice, 282g of fruit punch juice, and 240g of spring water."
"['Bread, unknown type and production', 'Egg, unknown type, cooked, unknown if fat added', 'Sugar, unknown type', 'Tea, cinnamon, brewed with water', 'Water, tap']",27.45,4.47,180.0,7.16,KNA,metric,"This morning, I had 28g of an unspecified bread, 33g of cooked egg, and added 13.8g of sugar. I also had 480g of brewed cinnamon tea and 254g of tap water."
"['Almond, milk, sweetened, flavoured', 'Flakes, corn', 'Water, tap']",282.06,4.29,1289.0,24.79,KNA,metric,I’ve got 310 grams of corn flakes with 244g of sweetened almond milk and a glass of 254g of tap water for my snack.
"['Chicken, drumstick, skin eaten, cooked unknown added fat', 'Macaroni pie', 'Water, mineral']",26.35,32.66,550.0,37.05,KNA,metric,"Lunch today includes a 60g drumstick, 211.8g of macaroni pie, and I’m drinking 600g of mineral water."
"['Breakfast cereal, Nestlé, Cheerios, original', 'Milk, evaporated, unknown type']",64.21000000000001,23.25,575.0,24.38,KNA,metric,"This morning, I’m eating 57g of Cheerios with 256.8g of an unknown type of evaporated milk."
"['Rice, white, with lentils', 'Stew, Caribbean fish, SKN recipe', 'Water, tap']",14.02,39.47,475.0,13.71,KNA,metric,"Tonight's dinner includes 51.8g of white rice mixed with lentils, 242g of fish stew from a Caribbean recipe, and I'm drinking 240g of tap water."
"['Beer, American lager', 'Beer, Guinness, dry stout', 'Juice drink, orange']",50.69,0.0,399.0,3.39,KNA,metric,"For my snack, I had 432g of American lager beer, 275g of Guinness, and 282g of orange juice."
"['Cookie, fig bar', 'Corn-based puffs, Cheetos, twists, curls, cheese-flavoured', 'Water, tap']",53.349999999999994,14.39,363.0,3.6399999999999997,KNA,metric,"For a snack, I’m having a 57g fig bar cookie, 28g of cheese-flavored Cheetos, and 254g of tap water."
"['Pelau, SKN recipe', 'Water, mineral, unknown type']",66.98,3.3100000000000005,376.0,15.850000000000001,KNA,metric,"For lunch, it's 387.9 grams of Pelau and 600 grams of mineral water."
"['Coffee, cafe au lait, with whole milk', 'Crackers, Crix, wholewheat', 'Sugar, unknown type', 'Water, tap']",92.96,16.66,605.0,16.590000000000003,KNA,metric,"For dinner, I'm having 496g of café au lait made with whole milk, 80g of whole wheat Crix crackers, and 16.8g of sugar. I also have 480g of tap water."
"['Fried beef balls with tomato sauce and olive oil', 'Lettuce salad with olive oil', 'Oranges', 'Potato stew with lamb and olive oil', 'Wheat bread and rolls, white (refined flour)']",131.94,72.56,1337.0,45.17,TUN,metric,"I’m eating 172.1 grams of fried beef balls in tomato sauce with olive oil for lunch, paired with a 63.5g salad of lettuce and olive oil. I had some oranges weighing 53.4g, along with 136.6g of potato stew with lamb and olive oil, and finished with 150 grams of white bread."
"['Potato stew with lamb and vegetable oil', 'Tunisian salad with olive oil', 'Wheat bread and rolls, white (refined flour)', 'White sugar']",120.6,26.45,804.0,25.490000000000002,TUN,metric,"For lunch, I had 136.6g of potato stew with lamb, a side of 113.5g of Tunisian salad with olive oil, and 150g of white bread and rolls, adding 10g of white sugar for a little sweetness."
['Okra stew with beef and corn oil'],1.4100000000000001,1.45,24.0,1.24,TUN,metric,I'm having a 14.5g serving of okra stew with beef and corn oil for a snack.
"['Cucumber Salad With Olive Oil', 'Potato Stew With Chicken And Vegetable Oil', 'Vegetable Soup With Chicken And Corn Oil']",31.630000000000003,18.92,340.0,13.93,TUN,metric,"I'm enjoying dinner with 40 grams of cucumber salad with olive oil, 100.5 grams of potato stew with chicken and vegetable oil, and 130.7 grams of vegetable soup that has chicken and corn oil."
"['Blue fish, raw', 'Bread without salt', 'Cucumber Salad With Corn Oil']",60.37,6.0600000000000005,386.0,24.32,TUN,metric,"For lunch, I'm having 80 grams of raw blue fish, 100 grams of unsalted bread, and a cucumber salad with corn oil that weighs 40.1 grams."
"['Cola beverages, caffeinic', 'Couscous with lamb and vegetable oil with raisins', 'Figs', 'Watermelons']",104.09,17.78,644.0,21.230000000000004,TUN,metric,"For dinner, I am having 200g of cola beverages, 309.1g of couscous with lamb and vegetable oil with raisins, 80g of rigs, and 100g of watermelons."
"['Chocolate Brioche', 'Coffee powder', 'Sugar']",39.74000000000001,18.21,345.0,5.989999999999999,TUN,metric,"For breakfast, I'm having 67.6g of chocolate brioche with 60g of coffee powder and 5g of sugar."
"['Barley Soup With Chicken And Vegetable Oil', 'Olive oil', 'Pickled olive', 'baguette bread']",47.36,29.509999999999998,482.0,10.09,TUN,metric,"I’ve got a bowl of barley soup with chicken weighing 89.3g for lunch. I added 20g of olive oil, along with 15g of pickled olives, and I'm enjoying it with 50g of baguette bread."
"['Macaroni with goat and vegetable oil', 'Tunisian brick with turkey and vegetable oil', 'Wheat bread and rolls, white (refined flour)']",55.49999999999999,22.169999999999998,500.0,23.42,TUN,metric,"I ate 89.7g of macaroni prepared with goat and vegetable oil and 92.1g of a Tunisian brick stuffed with turkey and vegetable oil for lunch. Plus, I had 50g of white bread."
"['Coca Cola', 'Eggplant Stew With Beef And Olive Oil', 'Tabouna Bread', 'baguette bread']",130.61,18.229999999999997,771.0,25.74,TUN,metric,"I have 180 grams of Coca Cola to drink, plus a serving of 131g eggplant stew with beef and olive oil for dinner, along with 57.7g of Tabouna bread and 100g of baguette bread."
"['Cucumber salad with olive oil', 'Wheat bread and rolls, white (refined flour)', 'White beans stew with chicken and vegetable oil']",158.51000000000002,40.97,1143.0,41.59,TUN,metric,"For lunch, I've got 113.5g of cucumber salad drizzled with olive oil, 250g of white rolls and bread, and a serving of 274g of white bean stew with chicken."
"['Melons', 'Tunisian salad with vegetable oil', 'Watermelons', 'Wheat bread and rolls, white (refined flour)']",103.72999999999999,12.48,571.0,14.950000000000001,TUN,metric,"I enjoyed 200 grams of melons and a Tunisian salad with 113.5g of vegetable oil for dinner, plus 300g of watermelon and 100g of white bread."
"['Cake', 'Instant coffee', 'Olive oil', 'Sugar', ""UHT semi-skimmed cow's milk""]",47.300000000000004,13.36,332.0,6.07,TUN,metric,"For breakfast, I enjoyed 55g of cake with 6g of instant coffee. I had 120g of semi-skimmed milk, plus 5g of olive oil and 6g of sugar."
"['Butter', 'Half cream milk coffee', 'Wheat bread and rolls, white (refined flour)', 'White sugar']",44.04,11.74,314.0,8.89,TUN,metric,"I had a breakfast that included 10 grams of butter, 120 grams of half cream milk coffee, 55 grams of white bread, and 10 grams of sugar."
"['Tunisian salad with olive oil', 'Wheat bread and rolls, white (refined flour)', 'White sugar']",115.75,20.1,697.0,18.42,TUN,metric,"I just had a lunch consisting of 227g of Tunisian salad, along with 150g of white rolls and a bit of white sugar, about 10 grams."
"['Couscous With Lamb And Vegetable Oil', 'Mlawi Bread', 'baguette bread']",251.46,47.739999999999995,1633.0,59.18000000000001,TUN,metric,"For lunch, I have 752.4 grams of couscous with lamb, 85.6g of Mlawi bread, and a 100g piece of baguette."
"['Cola beverages, caffeinic', 'Melons']",41.84,0.57,177.0,2.52,TUN,metric,Having a quick snack with 160g of cola and 300g of melons.
"['Macaroni Without Meat With Vegetable Oil', 'Tunisian Salad With Vegetable Oil', 'baguette bread']",70.37,12.52,426.0,13.31,TUN,metric,I'm eating 137.7g of macaroni without meat and vegetable oil along with 54.9g of Tunisian salad with vegetable oil and 50g of baguette bread for lunch.
"['Blue fish, raw', 'Orange', 'Potatoes, raw', 'Tomato Sauce With Vegetable Oil', 'baguette bread']",100.71,22.66,773.0,45.790000000000006,TUN,metric,"For lunch, I'm having 160g of raw blue fish, a 130g orange, 27g of raw potatoes, 25.1g of tomato sauce with vegetable oil, and a 150g baguette. Everything's weighed out perfectly!"
"['Common peaches', 'Macaroni with beef and vegetable oil', 'Plumcots']",122.72999999999998,24.550000000000004,809.0,35.24999999999999,TUN,metric,"For dinner, I had 150g of common peaches, 377.5g of macaroni with beef and vegetable oil, and 160g of plumcots."
['Rusk'],13.399999999999999,0.6,66.0,1.4,PAK,metric,I started my day with 14.5g of rusk for breakfast.
"['Chapatti, wheat flour with ghee', 'Potato curry']",99.39999999999999,8.9,577.0,17.5,PAK,metric,"For lunch, I’m having a 132.3g chapatti made with wheat flour and ghee along with 42.2g of potato curry."
"['Beef curry', 'Chapatti, wheat flour without ghee', 'Palao, channa', 'Yogurt drink']",70.7,15.8,506.0,16.9,PAK,metric,"I’m having a lunch that includes 40.5g of beef curry, 63.1g of chapatti, 36.7g of channa palao, and a yogurt drink weighing 124.9g."
"['Chapatti, brown rice flour with ghee', 'Mango pickle', 'Potato curry']",113.0,23.700000000000003,713.0,10.799999999999999,PAK,metric,"I'm enjoying 122.6g of chapatti with ghee, paired with 35.6g of mango pickle and 18.4g of potato curry for dinner."
"['Chapatti, brown rice flour with ghee', 'Green gram, split, curry', 'Potato curry']",111.3,8.9,576.0,10.7,PAK,metric,"For lunch, I have 122.6 grams of chapatti with ghee, along with a small serving of 10.2g split green gram curry and 18.4g potato curry."
"['Chapatti, wheat flour without ghee', 'Spinach curry']",46.199999999999996,2.4,255.0,8.600000000000001,PAK,metric,I enjoyed a 63.1g chapatti and some spinach curry weighing 14.6g for lunch.
"['Rice, white, milled, boiled', 'Yogurt drink']",75.2,7.1,390.0,9.2,PAK,metric,I prepared 246 grams of boiled white rice along with a 124.9g yogurt drink for lunch.
['Fruit flavour drink'],9.4,0.0,38.0,0.0,PAK,metric,"For my snack, I’ve got an 11.3g fruit flavor drink."
"['Green gram, split, curry', 'Yogurt drink']",24.599999999999998,13.3,225.0,6.9,PAK,metric,I’ve got 23.5 grams of split green gram curry and a yogurt drink that weighs 179.8 grams for dinner.
"['Biscuit, salty', 'Tea with cow milk']",24.200000000000003,5.5,165.0,3.9,PAK,metric,"This morning, I enjoyed a salty biscuit that was 10.5g and 95.7g of tea with cow milk."
"['Kabab, daal']",1.0,2.0,24.0,0.30000000000000004,PAK,metric,"For dinner, I’m having 7.2 grams of kabab with some daal."
"['Chapatti, brown rice flour with ghee', 'Fish, perch, curry']",108.9,9.100000000000001,585.0,15.099999999999998,PAK,metric,"I’ll be eating 122.6g of chapatti made from brown rice flour and ghee, paired with 40.4g of fish curry for dinner."
"['Chapatti, wheat flour without ghee', 'Fish, perch, curry', 'Yogurt drink']",61.3,11.5,423.0,17.6,PAK,metric,"For dinner, I'm having a 63.1g chapatti made with wheat flour, 42.6g of perch fish curry, and a 124.9g yogurt drink."
"['Chapatti, brown rice flour with ghee', 'Green gram, split, curry', 'Tea with cow milk']",115.6,14.6,657.0,14.0,PAK,metric,"I’ve got 102.1g of chapatti, 37.8g of green gram curry, and 109.4g of tea with cow milk lined up for lunch."
"['Chapatti, wheat flour with ghee', 'Milk, cow, whole fat (pasteurized UTH)', 'Potato curry']",159.3,22.200000000000003,1027.0,35.400000000000006,PAK,metric,"I’ve got 198.5g of wheat flour chapatti with ghee, 300g of whole milk, and 42.2g of potato curry for dinner."
"['Biscuits, sweet', 'Milk, cow, whole fat (pasteurized UTH)', 'Sweet Rice', 'Tea with cow milk', 'Tea with goat milk']",77.8,25.599999999999998,596.0,15.9,PAK,metric,"For a snack, I had 21 grams of sweet biscuits, 225 grams of whole cow's milk, 43.5 grams of sweet rice, 95.7 grams of tea with cow milk, and 104 grams of tea with goat milk."
"['Chilli green fry, recipe', 'Mango, unripe, raw']",21.4,5.0,127.0,1.2999999999999998,PAK,metric,"For lunch, I had a mix of 26.4 grams of chili green fry and 117.4 grams of unripe mango."
"['Chapatti, brown rice flour without ghee', 'Tea with buffalo milk', 'Yogurt drink']",54.699999999999996,13.0,372.0,9.899999999999999,PAK,metric,"This morning, I had 30.1g of chapatti, 117g of tea with buffalo milk, and an 87.5g yogurt drink."
"['Chapatti, brown rice flour without ghee', 'Tomato chutney, grilled']",111.7,4.8,559.0,13.399999999999999,PAK,metric,Lunch today includes 120.5g of chapatti without ghee and 139g of grilled tomato chutney.
"['Chapatti, brown rice flour with ghee', 'Egg curry', 'Yogurt drink']",71.9,12.6,430.0,10.3,PAK,metric,"I’m eating dinner that includes 61.3 grams of chapatti, 26 grams of egg curry, and a yogurt drink weighing 137.4 grams."
"['COCONUT OIL, FORTIFIED', 'CORN GRITS (WHITE)#14, BOILED', 'JACKFRUIT', 'PARROT FISH, SAUTEED']",122.54,7.699999999999999,618.0,20.55,PHL,metric,"I started my day with 6.1 grams of coconut oil, a big serving of 252 grams of corn grits, 288 grams of jackfruit, and 36 grams of sautéed parrot fish."
"['CHICKEN EGG , WHOLE, SCRAMBLED', 'COCONUT OIL', 'RICE, WHITE, BOILED/STEAMED', 'SARDINES IN TOMATO SAUCE,CANNED', 'TOMATO, SAUTEED']",67.82,11.14,444.0,16.29,PHL,metric,"This morning, I had a breakfast consisting of 10 grams of scrambled chicken egg, 4 grams of coconut oil, 225 grams of boiled white rice, 60 grams of canned sardines in tomato sauce, and 10 grams of sautéed tomatoes."
"['COCONUT OIL', 'PORK CRACKLINGS', 'RICE, WHITE, BOILED/STEAMED', 'SHORT-BODIED MACKEREL, DRIED, FRIED']",44.55,5.89,285.0,11.16,PHL,metric,"For my lunch, I had a bowl of 150g white rice, 10g of pork cracklings for some crunch, 5g of fried dried mackerel for flavor, and a little 0.9g of coconut oil."
"['CUSTARD, CANDIED', 'SALTED POPCORN']",15.71,2.0300000000000002,85.0,1.08,PHL,metric,"For a snack, I'm having 10 grams of candied custard and 10.1 grams of salted popcorn."
"['COCONUT OIL', 'FISH FINGER RECIPE USING TUNA FISH, BAKED', 'PORK LOIN CHOP, FRIED', 'PORK PLATE FLAT, SAUTEED', 'RICE, WHITE, BOILED/STEAMED', 'WHEAT NOODLES, COOKED', 'YAM BEAN, PODS, SAUTEED']",43.0,38.290000000000006,627.0,26.220000000000002,PHL,metric,"For dinner, I'm having 6.8g of coconut oil, 15g of baked fish fingers made with tuna fish, 40g of fried pork loin chop, 3.3g of sautéed pork plate flat, 84g of boiled white rice, 32g of cooked wheat noodles, and 0.8g of sautéed yam bean pods."
"['BOTTLE GOURD, BOILED', 'HORSE RADISH TREE LEAVES, BOILED', 'MALABAR NIGHT SHADE LEAVES, COOKED', 'RICE, WHITE, BOILED/STEAMED', 'ROUND SCAD, SMOKED, BOILED', 'SQUASH, FRUIT, YELLOW BOILED', 'YARD LONG BEAN, GREEN, BOILED']",117.61000000000001,1.71,548.0,13.35,PHL,metric,"For lunch, I enjoyed 36g of boiled bottle gourd, 18g of horse radish tree leaves, and 18g of Malabar nightshade leaves. I also had 375g of boiled white rice, 12g of smoked boiled round scad, 12g of yellow squash, and 30g of boiled green yard long beans."
"['GLUTINOUS RICE WRAPPED IN COCONUT LEAF', 'MILK POWDERED, FILLED', 'SOLUBLE COFFEE', 'SUGAR,SECOND CLASS']",58.779999999999994,2.1599999999999997,282.0,6.75,PHL,metric,"For a quick snack, I'm having 130 grams of coconut leaf-wrapped glutinous rice, 9.9g of milk powder, 1g of soluble coffee, and 3.3g of sugar."
"['BREAD ROLL', 'COMPLEMENTARY FOOD, APPLE FLAVOR', 'MILK POWDERED, FILLED', 'SUGAR,WHITE,REFINED']",76.35,5.45,402.0,12.67,PHL,metric,"I’ve got a snack that includes a 100g bread roll, 4g of apple-flavored food, 10g of milk powder, and 7.5g of sugar."
"['PELARGON, WITH IRON', 'SUGAR, WHITE, REFINED']",64.11,16.32,472.0,15.84,PHL,metric,"For my snack, I’m having 96g of pelargon along with 8.8g of refined sugar."
